pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
c017cb27-f560-4b8e-9035-140038049b3c	Fantom	tarot	USDC	279368	0.56253	0.0	0.56253	6	False	Stable/Up	81.0	0.4465681169045679	0.4465681169045679
eec645c8-25d3-44d5-a94b-ba039e5603d0	Ontology	wing-finance	USDC	274663	5.84577	6.06085	11.90663	8	False	Down	71.0	0.3546796553924038	0.3546796553924038
cf67dcea-4b85-405c-b2d4-0e3aa782f684	Polygon	atlendis	agEUR	269189	6.84389	0.0	6.84389	37	False	Down	55.00000000000001	-0.3140126655316251	-0.12843338344681526
980528e7-5fce-476b-bfc3-8d4c588db8c9	Fantom	iron-bank	DAI	263589	4.5978	0.0	4.5978	56	False	Down	56.00000000000001	-0.9891552531988785	-0.9885258713523002
ce5b6930-2ddf-470d-8567-c59c71c80e3b	Fantom	tarot	USDC	259122	0.15909	0.0	0.15909	6	False	Stable/Up	65.0	0.633643578086143	0.633643578086143
f01c6dfa-1140-4537-8fd7-4e54445f8153	Ethereum	aave-v2	RAI	258912	5.84701	0.0	5.84701	209	False	Down	68.0	-0.30722566349439095	-0.6474173486324983
b869b6db-edd1-43e0-87e1-8dab647cf441	Polygon	dforce	USDT	255683	5.89437	0.0	5.89437	64	False	Down	62.0	-0.5035375621752832	-0.6411033182776757
09b0024e-d3f8-400d-b5c8-fb7eb1066f12	Ethereum	stakedao	3EUR	250904	0.04342	6.99889	7.04231	23	False	Down	72.0	0.39389926943208464	0.39389926943208464
42b2aeae-eaca-48f5-aa91-d1d01ff691c4	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2989878d-a587-4045-921f-73e67bcafd9c	Optimism	tarot	USDC	236462	5.26344	0.0	5.26344	6	False	Stable/Up	61.0	-0.563480964918577	-0.563480964918577
f4ad198a-eb39-4a3f-965a-cd1cdc86586c	Fantom	yearn-finance	yvMIM	234899	5.06592	0.0	5.06592	209	False	Down	68.0	0.8163278286059682	-0.3000136614260843
54506699-8258-4426-88c2-a04892f1076a	Optimism	hop-protocol	USDT	230975	7.07216	0.0	7.07216	38	False	Down	73.0	-0.7905031392695749	-0.18813320165631445
c4c77439-c791-418b-8fdd-1d5d8b21133f	Optimism	the-granary	USDC	229197	0.91629	0.0	0.91629	17	False	Stable/Up	71.0	-0.9500282148005187	-0.9500282148005187
9d2ce7af-e185-46d3-8c0c-9e466cd95673	Avalanche	platypus-finance	USDC	228695	0.0	0.0	0.0	20	False	Unknown	0.0	0.5213257417631281	0.5213257417631281
807e479d-1303-4794-bf52-d4bf6dfdc86b	Binance	beefy	mai	224793	9.22799	0.0	9.22799	45	False	Stable/Up	59.0	-0.027001501033213793	0.5094134426553648
f3158184-fa3f-4c04-a518-8945efe87b68	Optimism	tarot	USDC	220927	5.65137	0.0	5.65137	6	False	Stable/Up	63.0	0.10028693740413498	0.10028693740413498
